"Ab_name","Hu_Protein_Approved_Name","Hu_Ensemble_ID","Gene_name","Ab_metal_label","common_name"
"BFABP","BLBP","ENSG00000164434","FABP7","BFABP_172YbDi","FABP7"
"CD117","KIT","ENSG00000157404","KIT","CD117_143NdDi","KIT"
"CD133","PROM1","ENSG00000007062","PROM1","CD133_148NdDi","PROM1"
"CD24","CD24","ENSG00000272398","CD24","CD24_146NdDi","CD24"
"CD31","PECAM1","ENSG00000261371","PECAM1","CD31_155GdDi","PECAM1"
"CD44","CD44","ENSG00000026508","CD44","CD44_171YbDi","CD44"
"CD45","PTPRC","ENSG00000081237","PTPRC","CD45_157GdDi","PTPRC"
"CD9","CD9","ENSG00000010278","CD9","CD9_142NdDi","CD9"
"CGRP","CALCA","ENSG00000110680","CALCA","CGRP_149SmDi","CALCA"
"cMet","MET","ENSG00000105976","MET","cMet_115InDi","MET"
"Connexin43","GJA1","ENSG00000152661","GJA1","Connexin43_139LaDi","GJA1"
"Cux1","CUX1","ENSG00000257923","CUX1","Cux1_170ErDi","CUX1"
"GAD65","GAD2","ENSG00000136750","GAD2","GAD65_162DyDi","GAD2"
"GFAP","GFAP","ENSG00000131095","GFAP","GFAP_113InDi","GFAP"
"Islet1","ISL1","ENSG00000016082","ISL1","Islet1_167ErDi","ISL1"
"Ki67","MKI67","ENSG00000148773","MKI67","Ki67_152SmDi","MKI67"
"MafA","MAFA","ENSG00000182759","MAFA","MafA_166ErDi","MAFA"
"MAP2","MAP2","ENSG00000078018","MAP2","MAP2_164DyDi","MAP2"
"N-Cadherin","CDH2","ENSG00000170558","CDH2","N-Cadherin_161DyDi","CDH2"
"Nestin","NES","ENSG00000132688","NES","Nestin_144NdDi","NES"
"NeuN","RBFOX3","ENSG00000167281","RBFOX3","NeuN_150NdDi","RBFOX3"
"NeuroD1","NEUROD1","ENSG00000162992","NEUROD1","NeuroD1_156GdDi","NEUROD1"
"NFH","NEFH","ENSG00000100285","NEFH","NFH_147SmDi","NEFH"
"p75NTR","NGFR","ENSG00000064300","NGFR","p75NTR_176YbDi","NGFR"
"PDGFRa","PDGFRA","ENSG00000134853","PDGFRA","PDGFRa_168ErDi","PDGFRA"
"PGP9","UCHL1","ENSG00000154277","UCHL1","175Lu_PGP9_5Di","UCHL1"
"Ret","RET","ENSG00000165731","RET","Ret_169TmDi","RET"
"Runx3","RUNX3","ENSG00000020633","RUNX3","Runx3_160GdDi","RUNX3"
"Sox1","SOX1","ENSG00000182968","SOX1","Sox1_145NdDi","SOX1"
"Sox10","SOX10","ENSG00000100146","SOX10","Sox10_151EuDi","SOX10"
"Sox2","SOX2","ENSG00000181449","SOX2","Sox2_141PrDi","SOX2"
"Thy1.2","THY1","ENSG00000154096","THY1","Thy1.2_158GdDi","THY1"
"TrkA","NTRK1","ENSG00000198400","NTRK1","TrkA_165HoDi","NTRK1"
"TrkB","NTRK2","ENSG00000148053","NTRK2","TrkB_174YbDi","NTRK2"
"TrkC","NTRK3","ENSG00000140538","NTRK3","TrkC_159TbDi","NTRK3"
"TuJ1","TUBB3","ENSG00000258947","TUBB3","TuJ1_89YDi","TUBB3"
"Vimentin","VIM","ENSG00000026025","VIM","Vimentin_154SmDi","VIM"
